Sale Key,City Key,Customer Key,Bill To Customer Key,Stock Item Key,invoice_date,delivery_date,Salesperson Key,WWI Invoice ID,Description,Package,Quantity,Unit Price,Tax Rate,Total Excluding Tax,Tax Amount,Profit,Total Including Tax,Total Dry Items,Total Chiller Items,Lineage Key,unit_price_implied,delivery_lag_days,year,month,quarter,year_month,margin_pct,has_customer
57267,72894,0,0,188,2013-12-07,2013-12-08,81,17632,Developer joke mug - that's a hardware problem (White),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
57869,91464,0,0,169,2013-12-12,2013-12-13,39,17823,Developer joke mug - old C developers never die (Black),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
57915,47692,0,0,166,2013-12-12,2013-12-13,86,17838,IT joke mug - that behavior is by design (White),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
58792,48937,0,0,171,2013-12-19,2013-12-20,39,18115,Developer joke mug - this code was generated by a tool (Black),Each,6,13.0,15,78.0,11.7,51.0,89.7,6,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
49620,87481,0,0,182,2013-10-24,2013-10-25,19,15295,Developer joke mug - inheritance is the OO way to become wealthy (White),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
49812,76936,0,0,165,2013-10-24,2013-10-25,39,15352,IT joke mug - that behavior is by design (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
50099,91464,0,0,195,2013-10-25,2013-10-26,83,15437,DBA joke mug - I will get you in order (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
50101,91464,0,0,172,2013-10-25,2013-10-26,83,15437,Developer joke mug - this code was generated by a tool (White),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
51288,48763,0,0,183,2013-11-01,2013-11-02,81,15809,Developer joke mug - when your hammer is C++ (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
52005,76936,0,0,201,2013-11-06,2013-11-07,84,16031,DBA joke mug - daaaaaa-ta (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
52109,47692,0,0,203,2013-11-07,2013-11-08,83,16065,DBA joke mug - mind if I join you? (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
53210,44333,0,0,167,2013-11-14,2013-11-15,91,16381,IT joke mug - keyboard not found … press F1 to continue (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
54829,48851,0,0,197,2013-11-23,2013-11-24,39,16878,DBA joke mug - it depends (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
55579,47692,0,0,199,2013-11-28,2013-11-29,19,17112,DBA joke mug - you might be a DBA if (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
58277,72761,0,0,202,2013-12-16,2013-12-17,93,17953,DBA joke mug - daaaaaa-ta (White),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
58278,72761,0,0,186,2013-12-16,2013-12-17,93,17953,Developer joke mug - fun was unexpected at this time (White),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
58476,47692,0,0,172,2013-12-17,2013-12-18,39,18016,Developer joke mug - this code was generated by a tool (White),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
60167,47692,0,0,184,2013-12-27,2013-12-28,90,18531,Developer joke mug - when your hammer is C++ (White),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
60848,41568,0,0,167,2013-12-31,2014-01-01,94,18731,IT joke mug - keyboard not found … press F1 to continue (Black),Each,5,13.0,15,65.0,9.75,42.5,74.75,5,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
49833,87481,0,0,170,2013-10-24,2013-10-25,85,15359,Developer joke mug - old C developers never die (White),Each,2,13.0,15,26.0,3.9,17.0,29.9,2,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
52836,48937,0,0,167,2013-11-13,2013-11-14,83,16273,IT joke mug - keyboard not found … press F1 to continue (Black),Each,2,13.0,15,26.0,3.9,17.0,29.9,2,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
52849,48851,0,0,184,2013-11-13,2013-11-14,91,16277,Developer joke mug - when your hammer is C++ (White),Each,2,13.0,15,26.0,3.9,17.0,29.9,2,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
53758,47741,0,0,167,2013-11-18,2013-11-19,81,16553,IT joke mug - keyboard not found … press F1 to continue (Black),Each,2,13.0,15,26.0,3.9,17.0,29.9,2,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
55417,48763,0,0,172,2013-11-26,2013-11-27,90,17058,Developer joke mug - this code was generated by a tool (White),Each,2,13.0,15,26.0,3.9,17.0,29.9,2,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
55991,72761,0,0,201,2013-11-29,2013-11-30,93,17238,DBA joke mug - daaaaaa-ta (Black),Each,2,13.0,15,26.0,3.9,17.0,29.9,2,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
56108,91464,0,0,192,2013-12-02,2013-12-03,91,17277,DBA joke mug - two types of DBAs (White),Each,2,13.0,15,26.0,3.9,17.0,29.9,2,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
49397,66176,0,0,163,2013-10-22,2013-10-23,39,15226,IT joke mug - hardware: part of the computer that can be kicked (Black),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
49600,77092,0,0,186,2013-10-24,2013-10-25,39,15289,Developer joke mug - fun was unexpected at this time (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
49622,87481,0,0,190,2013-10-24,2013-10-25,19,15295,Developer joke mug - Oct 31 = Dec 25 (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
50097,91464,0,0,182,2013-10-25,2013-10-26,83,15437,Developer joke mug - inheritance is the OO way to become wealthy (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
50378,91464,0,0,179,2013-10-28,2013-10-29,70,15525,"Developer joke mug - (hip, hip, array) (Black)",Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
51874,91464,0,0,176,2013-11-06,2013-11-07,83,15992,Developer joke mug - there are 10 types of people in the world (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
52058,48763,0,0,195,2013-11-07,2013-11-08,83,16049,DBA joke mug - I will get you in order (Black),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
52227,47741,0,0,187,2013-11-08,2013-11-09,74,16100,Developer joke mug - that's a hardware problem (Black),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
52992,47692,0,0,172,2013-11-13,2013-11-14,86,16317,Developer joke mug - this code was generated by a tool (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
53466,72709,0,0,199,2013-11-15,2013-11-16,91,16464,DBA joke mug - you might be a DBA if (Black),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
54832,48762,0,0,173,2013-11-23,2013-11-24,39,16879,Developer joke mug - a foo walks into a bar (Black),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
55581,47692,0,0,200,2013-11-28,2013-11-29,19,17112,DBA joke mug - you might be a DBA if (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
56653,72709,0,0,175,2013-12-04,2013-12-05,96,17443,Developer joke mug - there are 10 types of people in the world (Black),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
57042,76936,0,0,164,2013-12-06,2013-12-07,86,17564,IT joke mug - hardware: part of the computer that can be kicked (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
58477,47692,0,0,176,2013-12-17,2013-12-18,39,18016,Developer joke mug - there are 10 types of people in the world (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
59567,87481,0,0,184,2013-12-24,2013-12-25,94,18349,Developer joke mug - when your hammer is C++ (White),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
60326,89925,0,0,197,2013-12-27,2013-12-28,93,18576,DBA joke mug - it depends (Black),Each,10,13.0,15,130.0,19.5,85.0,149.5,10,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
49811,76936,0,0,166,2013-10-24,2013-10-25,39,15352,IT joke mug - that behavior is by design (White),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
53831,48762,0,0,176,2013-11-18,2013-11-19,91,16574,Developer joke mug - there are 10 types of people in the world (White),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
56050,66176,0,0,175,2013-11-30,2013-12-01,83,17257,Developer joke mug - there are 10 types of people in the world (Black),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
56412,48762,0,0,171,2013-12-03,2013-12-04,19,17371,Developer joke mug - this code was generated by a tool (Black),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
57663,48763,0,0,175,2013-12-10,2013-12-11,90,17755,Developer joke mug - there are 10 types of people in the world (Black),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
58270,72709,0,0,182,2013-12-16,2013-12-17,83,17951,Developer joke mug - inheritance is the OO way to become wealthy (White),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
58303,76936,0,0,187,2013-12-16,2013-12-17,91,17961,Developer joke mug - that's a hardware problem (Black),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
58833,48762,0,0,163,2013-12-19,2013-12-20,39,18129,IT joke mug - hardware: part of the computer that can be kicked (Black),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
59581,41568,0,0,171,2013-12-24,2013-12-25,83,18352,Developer joke mug - this code was generated by a tool (Black),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
60633,47757,0,0,202,2013-12-30,2013-12-31,83,18667,DBA joke mug - daaaaaa-ta (White),Each,9,13.0,15,117.0,17.55,76.5,134.55,9,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
49532,89925,0,0,192,2013-10-23,2013-10-24,85,15267,DBA joke mug - two types of DBAs (White),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
49901,89925,0,0,194,2013-10-25,2013-10-26,84,15380,DBA joke mug - SELECT caffeine FROM mug (White),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
50461,72125,0,0,204,2013-10-28,2013-10-29,81,15551,DBA joke mug - mind if I join you? (White),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
51171,72894,0,0,198,2013-11-01,2013-11-02,74,15773,DBA joke mug - it depends (White),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
52175,47741,0,0,188,2013-11-08,2013-11-09,86,16085,Developer joke mug - that's a hardware problem (White),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
52415,47134,0,0,179,2013-11-09,2013-11-10,39,16149,"Developer joke mug - (hip, hip, array) (Black)",Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
53369,72125,0,0,197,2013-11-15,2013-11-16,91,16433,DBA joke mug - it depends (Black),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
55529,47741,0,0,184,2013-11-27,2013-11-28,74,17096,Developer joke mug - when your hammer is C++ (White),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
57330,87633,0,0,174,2013-12-07,2013-12-08,86,17651,Developer joke mug - a foo walks into a bar (White),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
57659,48763,0,0,197,2013-12-10,2013-12-11,90,17755,DBA joke mug - it depends (Black),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
57922,47855,0,0,191,2013-12-12,2013-12-13,81,17840,DBA joke mug - two types of DBAs (Black),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
57987,47757,0,0,197,2013-12-13,2013-12-14,39,17862,DBA joke mug - it depends (Black),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
58841,44333,0,0,167,2013-12-19,2013-12-20,86,18131,IT joke mug - keyboard not found … press F1 to continue (Black),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
58854,72610,0,0,167,2013-12-19,2013-12-20,81,18135,IT joke mug - keyboard not found … press F1 to continue (Black),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
59954,47757,0,0,187,2013-12-25,2013-12-26,81,18463,Developer joke mug - that's a hardware problem (Black),Each,7,13.0,15,91.0,13.65,59.5,104.65,7,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
51631,48763,0,0,198,2013-11-05,2013-11-06,39,15919,DBA joke mug - it depends (White),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
51865,48762,0,0,184,2013-11-06,2013-11-07,91,15990,Developer joke mug - when your hammer is C++ (White),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
52176,47741,0,0,194,2013-11-08,2013-11-09,86,16085,DBA joke mug - SELECT caffeine FROM mug (White),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
52329,47855,0,0,174,2013-11-08,2013-11-09,90,16128,Developer joke mug - a foo walks into a bar (White),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
57346,72646,0,0,173,2013-12-09,2013-12-10,94,17658,Developer joke mug - a foo walks into a bar (Black),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
57515,41568,0,0,201,2013-12-09,2013-12-10,94,17710,DBA joke mug - daaaaaa-ta (Black),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
57870,91464,0,0,166,2013-12-12,2013-12-13,39,17823,IT joke mug - that behavior is by design (White),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
59527,48763,0,0,191,2013-12-24,2013-12-25,86,18339,DBA joke mug - two types of DBAs (Black),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
59953,47757,0,0,170,2013-12-25,2013-12-26,81,18463,Developer joke mug - old C developers never die (White),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
60348,72610,0,0,187,2013-12-27,2013-12-28,97,18582,Developer joke mug - that's a hardware problem (Black),Each,4,13.0,15,52.0,7.8,34.0,59.8,4,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
49835,87481,0,0,195,2013-10-24,2013-10-25,85,15359,DBA joke mug - I will get you in order (Black),Each,8,13.0,15,104.0,15.6,68.0,119.6,8,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
51289,48763,0,0,194,2013-11-01,2013-11-02,81,15809,DBA joke mug - SELECT caffeine FROM mug (White),Each,8,13.0,15,104.0,15.6,68.0,119.6,8,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
51866,48762,0,0,198,2013-11-06,2013-11-07,91,15990,DBA joke mug - it depends (White),Each,8,13.0,15,104.0,15.6,68.0,119.6,8,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
55118,72894,0,0,193,2013-11-25,2013-11-26,93,16968,DBA joke mug - SELECT caffeine FROM mug (Black),Each,8,13.0,15,104.0,15.6,68.0,119.6,8,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
55432,72646,0,0,168,2013-11-27,2013-11-28,91,17067,IT joke mug - keyboard not found … press F1 to continue (White),Each,8,13.0,15,104.0,15.6,68.0,119.6,8,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
57662,48763,0,0,184,2013-12-10,2013-12-11,90,17755,Developer joke mug - when your hammer is C++ (White),Each,8,13.0,15,104.0,15.6,68.0,119.6,8,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
58384,87481,0,0,189,2013-12-16,2013-12-17,19,17986,Developer joke mug - Oct 31 = Dec 25 (Black),Each,8,13.0,15,104.0,15.6,68.0,119.6,8,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
60330,89925,0,0,181,2013-12-27,2013-12-28,93,18576,Developer joke mug - inheritance is the OO way to become wealthy (Black),Each,8,13.0,15,104.0,15.6,68.0,119.6,8,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
49373,48937,0,0,174,2013-10-22,2013-10-23,83,15218,Developer joke mug - a foo walks into a bar (White),Each,3,13.0,15,39.0,5.85,25.5,44.85,3,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
50916,72610,0,0,177,2013-10-30,2013-10-31,39,15694,Developer joke mug - understanding recursion requires understanding recursion (Black),Each,3,13.0,15,39.0,5.85,25.5,44.85,3,0,11,13.0,1.0,2013,10,4,2013-10-01,65.38461538461539,False
54575,47741,0,0,174,2013-11-21,2013-11-22,91,16798,Developer joke mug - a foo walks into a bar (White),Each,3,13.0,15,39.0,5.85,25.5,44.85,3,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
54739,48937,0,0,201,2013-11-22,2013-11-23,74,16852,DBA joke mug - daaaaaa-ta (Black),Each,3,13.0,15,39.0,5.85,25.5,44.85,3,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
54761,87633,0,0,184,2013-11-22,2013-11-23,84,16859,Developer joke mug - when your hammer is C++ (White),Each,3,13.0,15,39.0,5.85,25.5,44.85,3,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
55120,72894,0,0,196,2013-11-25,2013-11-26,93,16968,DBA joke mug - I will get you in order (White),Each,3,13.0,15,39.0,5.85,25.5,44.85,3,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
55827,72646,0,0,196,2013-11-28,2013-11-29,90,17188,DBA joke mug - I will get you in order (White),Each,3,13.0,15,39.0,5.85,25.5,44.85,3,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
56107,91464,0,0,167,2013-12-02,2013-12-03,91,17277,IT joke mug - keyboard not found … press F1 to continue (Black),Each,3,13.0,15,39.0,5.85,25.5,44.85,3,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
57714,47741,0,0,176,2013-12-10,2013-12-11,91,17770,Developer joke mug - there are 10 types of people in the world (White),Each,3,13.0,15,39.0,5.85,25.5,44.85,3,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
57983,89925,0,0,181,2013-12-13,2013-12-14,93,17861,Developer joke mug - inheritance is the OO way to become wealthy (Black),Each,3,13.0,15,39.0,5.85,25.5,44.85,3,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
58293,47757,0,0,199,2013-12-16,2013-12-17,90,17957,DBA joke mug - you might be a DBA if (Black),Each,3,13.0,15,39.0,5.85,25.5,44.85,3,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
59564,87481,0,0,195,2013-12-24,2013-12-25,94,18349,DBA joke mug - I will get you in order (Black),Each,3,13.0,15,39.0,5.85,25.5,44.85,3,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
60630,47757,0,0,187,2013-12-30,2013-12-31,83,18667,Developer joke mug - that's a hardware problem (Black),Each,3,13.0,15,39.0,5.85,25.5,44.85,3,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
51466,48851,0,0,197,2013-11-04,2013-11-05,81,15867,DBA joke mug - it depends (Black),Each,1,13.0,15,13.0,1.95,8.5,14.95,1,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
54806,72709,0,0,166,2013-11-22,2013-11-23,89,16873,IT joke mug - that behavior is by design (White),Each,1,13.0,15,13.0,1.95,8.5,14.95,1,0,11,13.0,1.0,2013,11,4,2013-11-01,65.38461538461539,False
57044,76936,0,0,165,2013-12-06,2013-12-07,86,17564,IT joke mug - that behavior is by design (Black),Each,1,13.0,15,13.0,1.95,8.5,14.95,1,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
57344,72646,0,0,203,2013-12-09,2013-12-10,94,17658,DBA joke mug - mind if I join you? (Black),Each,1,13.0,15,13.0,1.95,8.5,14.95,1,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
57917,47692,0,0,198,2013-12-12,2013-12-13,86,17838,DBA joke mug - it depends (White),Each,1,13.0,15,13.0,1.95,8.5,14.95,1,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
59265,72646,0,0,193,2013-12-21,2013-12-22,81,18254,DBA joke mug - SELECT caffeine FROM mug (Black),Each,1,13.0,15,13.0,1.95,8.5,14.95,1,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
60383,66176,0,0,176,2013-12-27,2013-12-28,91,18590,Developer joke mug - there are 10 types of people in the world (White),Each,1,13.0,15,13.0,1.95,8.5,14.95,1,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
60502,41568,0,0,187,2013-12-30,2013-12-31,94,18628,Developer joke mug - that's a hardware problem (Black),Each,1,13.0,15,13.0,1.95,8.5,14.95,1,0,11,13.0,1.0,2013,12,4,2013-12-01,65.38461538461539,False
